,TextId,Text
71,0,  I think I may be too friendly...lol... o well...
72,0,  I think Manuel (my Basil plant) only has days to live   
73,0,  I wanna be at home @ church...I wonder wht they are doing?
74,0,  i wanna make my own pizza
75,0,"  i want a 120gb harddrive, or a 37 inch tv, or a new guitar.  anyonefeeling generous?  =p   x"
76,0,  i want a hug
77,0,  I want Miley to tour Australia
78,0,  I wanted to sleep in this morning but a mean kid through a popsicle stick at me head. I wish I could fly away like those squirrels
79,0,  i was too slow to get $1 Up tix
80,0,"  I will send sunshine to Northern Ireland, are you going swimming today @kezbat"
81,0,  I wish I could go to T4 On The Beach :'(    Would be great to see @Shontelle_Layne &amp; @DanMerriweather   
82,0,"  i would be so much happier if the walls of my bedroom were painted white,"
83,0,  idk wat 2 do who can i trust me im sorry 4 all da pain i have caused nebody ima take dis time out 2 straighten myself out i luv yall
84,0,  I'm finding the intercept slope..and banging my head against the wall..Math brain heads come save me
85,1,  I'm really going to bed now...
86,0,  im sick  'cough cough'
87,0,  in cab headed to the airport!  going home.... &lt;christy&gt;
88,0,  In case I feel emo in camp (feeling a wee bit of it alr)...am bringing in the Human Rights Watch World Report 2009..hope it'll work
89,1,  Jin has a twitter.
90,0,  jonas day is almost over... 
91,0,  Jus Got Hom Fr. TDa Funeral... I'm So Sad! I Cried So Much Times! Much Love Grandpa!&lt;3 I Never Got To Say My Last &quot;Goodbye&quot; to Him.
92,1,  just gonna smile...cuz it is what it is..and im not sure what more they could want..
93,1,"  Just got home, and I got to see my friend Zahra whom I haven't seen since We graduated!!!  That makes me so happy."
94,0, - Longest night ever.. ugh! http://tumblr.com/xwp1yxhi6
95,0,  mi momacita won't let me go to my bf's bball game!!! grrr!!!
96,0,  Mom says I have to get a new phone IMMEDIATELY....off to T-Mobile.  she paying....
97,0,  My new car was stolen....by my mother who wanted to go pose at church.
98,0,"  no hang out with the girls 2day. 2moro, hope so......"
99,0,  no movie times for sunday!  Rats will have to plan tomorrow. I guess this means I have to work on those two  presentations I am doing!
100,0,  no pavel tonight &lt;Tigersfan &gt;
101,0,  not a cool night.
102,1,  oh thank you!
103,1,  pleased
104,0,  probably guna get off soon since no one is talkin no more
105,0,  really wanted Safina to pull out a win &amp; to lose like that...
106,0,"  RIP, David Eddings."
107,1,  Rose and ood will be back in the Xmas Who special!  YAY!  Damn that's half a year away.
108,0, - sannesias: Aww no neighbor! We need to watch Mean Girls :] http://tumblr.com/xv31s2pi8
109,0,  so whats the status on next weekend
110,0,  sorry @gigi4462 The Ex Husband has overdosed on his daily dose of haterade
111,0,  Thanks for your definition of throwbie!  Editors reviewed your entry and have decided to not publish it.
112,1,"  Thanks, I need all the help i can get."
113,1, - that explains alot.
114,1,  There's going to be a Heathers sequel.  Winona4ever!  They better not fuck it up.
115,0,"  told not to drink w/my Rx so just gave all the b.b. porter &amp; obs. stout that I brought home from OR to my neighbors.  v, v, sad."
116,1,  trae is so sweet! He just bought me a new baithing suit!! Wove him 
117,1,"  True, highly subjective of me there. Tombre was actually my favorite character in the book. You got me  - http://is.gd/13be0 - Rishabh"
118,0,  u guys knw whyy
119,0,  very much so 
120,0,  waahhh now I'm getting sad....miss hub :-'(&quot;&quot;&quot;&quot;&quot;&quot;&quot;&quot;
121,0,--  we were standing out in the pouring rain.. We were sitting on top of the world..  --   summer sucks      --
122,0,"  Went to get dog from vets, theyve stitched her ear, charged us for it but she still bleeds like a waterfall everytime she moves. D: WHY!"
123,0,  where is my picture i feel naked 
124,0,  Why aren't there any trains going to manchester on a sunday?!!  Now I can't go to the @jonasbrothers concert.
125,0, - Why must people be so picky. I mean 6 hours work and no dice!? whatÃ¯Â¿Â½s up with that! http://tumblr.com/xsg1m3ufn
126,0,  Why Twitter will soon become obsolete? http://www.imediaconnection.com/content/23465.asp
127,1,  wide awake   NOT!!!
128,1,  yeah me too. Its been awful weather here for the last week so that stinks. Kristis comin down and moe said mmmaybe he take us for  ...
129,0, - You: hi Stranger: HELLO I AM FRANK LAMPARD HOW ARE YOU You: fine You: and urself Stranger: i am gay Your... http://tumblr.com/xaj24dkly
130,0,  you'll always be my one and only...  [12*23*2007]
131,0, #3turnoffwords this shit sucks
132,0, #asylm J2 panel is over. Guess it's back to normal life.
133,1, #poemsunder140 ....started by @shannonelyse1
134,0, #squarespace brighten my bad day! i never win anything...
135,0," #Susan Boyle didnt win! mh well, diversity was very good though! CONGRATZ!!"
136,0, #twenty20
137,1," &lt;--- That is all, and believe me.. it's enough!"
138,1, &lt;3 goooood timessss
139,0, &lt;3 GrAdUaTE 09&lt;3
140,0," &quot; Vandals paint swastikas on home of author of gay, lesbian church story : Naples Daily News&quot; ( http://bit.ly/11zyzl )"
141,0, &quot;An unknown error occured (-4)&quot;. uh oh. iPhone OS 3 fail so far 
142,0, &quot;experts (homers) predict Eagles to go 12-4 and Giants to go 9-7/ BS! http://www.dailysportspages.com/forums/showthread.php?t=49343
143,1, &quot;I know you hungry so lets go outside on the balcony so you can eat&quot;....
144,0, &quot;I want you so bad it's driving me  mad&quot;
145,1, &quot;The 10 Men a UK Female Internet Entrepreneur Should Know when Starting and Growing a Business : The Next Women&quot; ( http://tinyurl.com ...
146,1, &quot;The truth is hiding in your eyes&quot; @patita @MissMarian  Paramore Ã¯Â¿Â½ Decode @Daninho502  ? http://blip.fm/~5ytke
147,0, &quot;Try to turn on my tv to get you out of my head. I've got this feeling inside that I just won't admit...&quot; (that is literally how I feel)
148,0," &quot;well, the truth is I miss you so&quot;- Coldplay"
149,0, (tears) :'-( Today is the last day with my kids...They go on summer break at their Dads tomorrow. *sighs* http://plurk.com/p/x8j86
150,0, (unsure) (annoyed) http://plurk.com/p/1230lz
151,0, (via @designrelated) are designed gallery exhibition postcards/mailers going extinct? via NYT http://ow.ly/fHJc
152,0, *BeautifulyLost
153,0,- *cries* I'm going to miss Harry Potter when it comes out.  I'm leaving to Vietnam on July 11th.  I'm going to cry!!
154,1,-- *hummin* I SAY &quot;shut up &amp; put your money where your mouth is&quot; ...headin' out to reality. Cheers Twitter world! 
155,1,-- . *sigh* You cant love someone that doesn't love you back that's like stalker status . GET a divorce &amp;&amp; move on . Trinity. 
156,0," . . . . going back to bed, because I'm lookin' around and don't see a reason to be awake atm. Be up in a little."
157,1,"-- . Aiqht Goodniqht . Tri, Neena, Malcolm, Chaise , JLew, ATL &lt;333 Love Much . "
158,1,-- . Triiiiiii .  ily . even if Chaise doesn't . =D *dies of laughter*
159,0, .. i wantt hiim soo badd !!
160,0," .. watching tv , bed, shopping w. mom, out w. trent hopefully, i need my best friend"
161,0, ... had weird encounters with so many homeless/creeps on the walk home tonight all by myself   awesome... really...
162,0, ... Rained out truck race
163,0, ... Why am I feeling worse??? F!!!
164,0, .... Feeling pain and happiness at the same time. How confusing!
165,1, ..... hot choco is the best!
166,0, ....in a shirt and panties. celulite
167,0, ..had to turn back to North due to body on line. So missing Design Council Design 4 Tech Transfer event   http://bit.ly/pXrzV...
168,0, ..y everything is so hard? :/
169,0, .bueno good bye. good night
170,1, : Beach day with Scoobs. =( : Still no phone.
171,0," : Let's have fun,. When I give ya what I give ya."
172,0, :[ I don't want to move!!!
173,1," :-D ))))))))...WHAT AN AMAZING NIGHT,DAY &amp; NIGHT AGAIN!! HI TWITS! I MiSS U GUYS"
174,1, @ canaveral national  seashore
175,1, @ progressing in the production department with &quot;The Uprizing&quot; thats the priority getting the head nodding beats and then we reach out
176,1, @ taylorrhicks enjoy chicago..b new venue is always cool. You shine everywhere you go. I know who you are. In time so will everyone. 
177,0, @ the train crash in DC .....
178,1,' @ Thestreetforce  '
179,1, @3sixty5days makes me smile.
180,1," @adamisacson My first day off in 3 weeks, and my child got up before 7:00. So watch for me on &quot;Nancy Grac.. http://tr.im/khKW"
181,1," @adbert: &quot;#Video [Woody Woodpecker Ã¢â¬â The Barber of Seville] I am great, @klitoria, just wishing to be a ch... Ã¢â¢Â« http://blip.fm/~7g6r0"
182,1, @alexrauchman I am happy you are staying around here. Drexel is a fabulous university. You should be proud. yeah.
183,0, @alvinkschneider what happened to angels and demons and lions and tigers and bears!?
184,0, @AmericanWomannn Well that sure minimizes the impact...LOL
185,1," @ange_black @sween I call dibs on the Voltron arm. No the leg. Wait. Where are my manners? @baileygenine,.. http://tr.im/oERy"
186,1, @CharlottegC I just saw ur mum
187,1, @chloelunn and @meganmcdowell GET YOUR FAT ASSES ON HERE. NAI.
188,1,"- @codinghorror See, three external monitors on one laptop, http://www.twitpic.com/6e3zp Win7RC  1 x 1920x1080, 2 x 1280x1024"
189,1, @copicmarker&quot; facebook.com/copic.marker if you're cool. Or if you're not cool. Maybe I'll send some cool .. http://tr.im/oyT7
190,1,' @crewislife  you want to start the morning later; in New York we can do that  (Californians have it even better)
191,1, @cybervenus http://twitpic.com/75kwb ~ LOL LuV IT! &gt;&gt; http://twitpic.com/75hsg Did any1 find or c 1? #a.. http://bit.ly/mUMFh
192,1, @dandelionas is making fettucini and garlic bread!
193,1, @danregal  tell @pfont i said Happy BDay!! 
194,0,"- @Darcy_Lussier @lkrammes I went to work once last year with no pants. Ironically, that was my last day of work at that job. FML "
195,1," @DirtyRose17  told you, you would sweep haha :-p"
196,0, @dreamingspires. there r many gr8 science cartoons http://bit.ly/6EW4Q http://bit.ly/gXH3q http://bit.ly/18sjXI http://bit.ly/KEAy2
197,0,- @Em91 Edinburgh fringe is only 10 weeks away?! I need monies  Btw I'm Elliott from @angryfeet - blame @howlieT for the Twitter intrusion
198,0," @emilymariie why didnt you come to school?? have you done the short stack thing by yourself, or do you still need me?"
199,0,"- @EvertB which one? http://bit.ly/10o8LW, http://bit.ly/Nh82S or http://bit.ly/wr8Vz - latter for the US Store only  #iphone #comics"
200,0, @georgediaz #Magic ..thinking less than 50 % chance Hedo stays in Orlando. He's gonna go for the $$. They all do. Can't blame him though.
201,0, @Glamicole ..now who wud make this beautiful plc cry?
202,0, @HaterMagazine: @damienrandle it is now the outer fat kid.
203,1,"- @haugern The servers are now backup, if you experience any more problems then please let me know  Sorry about the delay..."
204,1," @hawaiibuzz: &quot;yes, i am lol j/k luv this! @DJDolceVita: &quot;you are like a gentle breeze that has blown throug... Ã¢â¢Â« http://blip.fm/~7s7mn"
205,0," @hellopnsdear se MORREA a mi Joseph, no no se vale."
206,1, @hidingesther @linininiooh are my future rooooooooomies! NYC holleR
207,1, @Hijack_King7 I hope u have cheeSe burgerS 4 @Snubbmatic LMBO
208,1, @iamyas awesome
209,1, @ivegotzooms I am nothing of the kind and everything of the sort http://tr.im/mLsn
210,1,- @jerrybattiste &quot;..pick up some flowers for the teacher..&quot; I'm jealous! I want flowers without having to be in the hospital to get them! 
211,1,- @joaoqalves Think again   Talvez seja do ÃÂªnfase na cifra. Mas atenÃÂ§ÃÂ£o: &quot;Security is a chain; it's as strong as the weakest link Ã¢â¬Â¦
212,0, @jonasbrothers Why is your YouTube account suspended? lol Single Ladies dance? I NEED TO WATCH IT AGAIN!
213,0,- @JuicyJones I know.. SOLD OUT though. 
214,1,- @kaitymarine - watch E3 @MCMudkips - Will do 
215,1,- @katherineholden Thanks K! Here's hoping! Pretty nervous though... 
216,0, @katiedontcry should get on aim and talk to me. i miss her.
217,1, @kcome ?????????????????????????????????? ????????????1000 Followers???????????? http://tr.im/mWKn
218,1," @khead I'll tell ya, grocery store. It was better when you blasted the oldies. Sugar Ray does not make me.. http://tr.im/jd0y"
219,0, @kvetchingeditor's kashrut convo makes me want to keep more kosher but my roomies catholic &amp; he has a pork loin in the fridge #kosherFAIL
220,0, @Leloz isn't home neither is @sozi1 ... @althani96 U BETTER HAVE IT!!!
221,1," @LHSOPERAFIENDS yall bitches better wake up early to go to the LA Opera, kay!?"
222,0,"- @littlecharva - I'm immune to dentists' drills etc now, it just doesn't bother me at all. Having gum lift surgery next week tho *eek* "
223,0, @lolife4life where r u tonite im still awake!
224,0, @lorinimus hates Bebot App
225,1," @masareus&quot; @dhempe congrats bhai, but like the oldies in &gt; used to say - arre bhai kuch kam ka http://tr.im/ox5G"
226,1, @MelodyChase
227,1, @mgph3nom chilling on twitter via my spanking new blackberry w/ unlimited internet : http://tr.im/mZVC
228,1, @michaelsarver so do you give him every inch of your love every night?
229,1, @mimbles @WParenthetical
230,1,' @minghao Maybe you can pop @StarHubCares a tweet. They are quite active on twitter. 
231,1," @MsNovember It's a shame all the women in Mamma Mia are so horny, since all the men on this island are so.. http://tr.im/kmET"
232,1,- @nibaq Thanks for letting me know. I'm going to check out Eureka later with this knowledge 
233,0, @Oneshine What are u referring to?
234,0, @plmusic22
235,1,"- @PoisonGirl10 What's up? @sevgli Hey you!  @lowridergrl I'm doing ok, thx. You? @cristinerafae You, too! TTYL! @Nic0pic0 Oh, sowwy! lol"
236,1, @RAPPUBLICIST HAPPY MOTHERS DAY!
237,1,"- @raybooysen I knew Sharepoint was written by interns, I just knew it !! "
238,0,                                     I miss her so much already...
239,0,               just practising.....how I feel       
240,0,            Miss my love Jamie
241,0,          FUCK YOU!
242,0,        my head feels like a bowling ball
243,0,        my heart hurts badly...
244,0,       FS keeps crashing when I try to load Bungie plane.
245,0,      My current headset is on its deathbed now!  My dad gave it to me just 3 weeks back!    
246,0,     ....    My mood is currently BLAH . Sitting in a parking lot
247,1,     I am happy     
248,0,    ...that is all.
249,0,    everyone went home. and not everyone was even here! ~CMF &lt;3
250,0,    fed up....
251,0,"    fuck, fuck, fuuuuck!"
252,0,"    Not feeling it today     And to make matters worst its super nasty and rainy outside, YUCK!"
253,0,   @Beansummer
254,0,"   Awwwwwh  i wanted Aiden Davis 2 WIN, i &lt;3 him so bummed he didnt "
255,0,   bed time now....
256,1,   Faltam 4 dias para o World Drawing day
257,0,"   Friends like these ... no thanks, I'm not fake! ^ ^"
258,1,   haha omg. stayin steezy &amp; mowin the lawn... loviie still here &amp;&amp; goiing tanning soon.
259,0,   i think my bf is cheating on me!!!!     
260,1,   i wanna play with my camera but i will settle for playing with iv's and heart monitors
261,0,   i want an octo drive
262,0,"   I want to display my pretty voltron!  Upside, I get two pretty voltrons!"
263,0,   i want to find a way to put my photos on phone here i have Bluetooth in both phone and computer but it doesn't work
264,0,   IN an effort to bring you the best content we just added at lease 30 hours to the release of The digital Rapture.  soon... hang tight
265,0,  --- is our response to what happened today. and that is all.
266,0,"   J, you are right... it hurts."
267,0,"   kinda but not really, but kinda "
268,0,"   let's have a moment of silence for our childhood homes... sadly, it can't be replaced and we can never go back"
269,1,   lol all these #robotpickuplines are hilarious 
270,1,"   man, oh man     (i should punch myself in the head, but im ok with that)"
271,1,"   my friends can get with ur friends and we can all b friends, shit, we could do this every weeknd.. Aiigght?  with coop n the crew"
272,0,"   No man is worth your tears, and the one that is won't make you cry!"
273,0,   rain rain go away!
274,0,   storms are scary!
275,1,   such a beautiful satisfying day of bargain shopping. loves it.
276,0,   Tell those girls your clocking out lol
277,1,   thank god today is friday !!! I love Ti Ti! &lt;3
278,0,   the batt to my internet connection died.  Guess its back to the mobile!
279,1,   thrilled about being at work this morning   
280,1,   we break dance not hearts by Short Stack is my ringtone.... i LOVE that song!!!.....
281,0,   www.apple.com/iphone now has it for the 18th   
282,0,  #squarespace #trackle  no apple iphone card for us  maybe tomorrow! I guess it helps if you tweet it huh?  We forgot 
283,0,  (unsure)  (hassle)  (:  (music) http://plurk.com/p/yq08l
284,0,                                           exhausted
285,0,          i want some ben&amp;jerrys cake batter please ugh
286,1,          my life is very lazzzzyyyy!!!!!!!            ***********
287,0,"        wish ella was on or somebody,,,,"
288,1,       ish in a good mood .....tlk to me
289,0,      i think i'm going to go 3 a long drive then when i get to the pacific ocean open my car door and throw my pc in the ocean
290,0,      what the hell BBC?
291,0,     #canucks
292,0,     I dont like this weekend.. Huhuhu ( (
293,0,     I'll get on it right away!
294,1,-     J + A MADE NiCE..... TWiCE!                     for now ;]
295,1,     loves life atm!   its brilliant XD
296,1,     who else is in a happy mood?? =D
297,1,    !BYE EVERYONE!   
298,0,    ...lonely night
299,0,    blue does not work      
300,0,    geez I'm feeling their pain
301,0,    i miss my summertime daley.
302,0,"    on the computer ... . . . . . . *ill*    lol,       no fuckin goin to portugal        "
303,1,    SO FAR SO GOOD!
304,1,    TODAY WAS A GREAT DAY!!!
305,0,    UGHHHHHHHHHHHHHHHHHHHHHHHHHHHHH
306,0,   #Battleground
307,1,"   a lot, a lot, a lot, a lot, a lot, a lot, a lot, a lot, a lot, a lot, a lot, a lot."
308,0,   Awwwwwh  i wanted Aiden Davis 2 WIN  i &lt;3 him so bummed he didnt 
309,0,   Curtain drops at the Crown Uptown after 32 ye http://www.kansas.com/news/featured/story/860875.html
310,0,   eh  must leave New Mexico and soon!
311,0,   fail maths  i knew it i was just too slow 
312,0,"   From Gongwer OH Report, sounds like leadership still considering library cuts, not considering tax increases. #saveohiolibraries"
313,0,   fuck sake. Why can things never work out for me?
314,0,"-   going in town todaÃâ¡ with mÃâ¡ cousinnn, [Ãâ¡]     netball match was cancelledd "
315,0,   hoping to see my baby girl
316,0,   i don't even know.
317,0,   I just lost a member of my family 
318,0,   I'm SICK of bedtime battles   
319,0,   i'm so cold this morning......       i have chills all over.....   
320,0,   Just... 
321,0,   No no no. Tonight goes on the books as the worst SYTYCD results show.
322,0,   no shopping   
323,0,"  - Poor lil mousey, just out enjoying the sunny day. I don't think I'd feel so bad if it was a big gnarly rat though. Dbl standard? Yep."
324,0,  -- that's an EPIC sad face.
325,0,   This magazine story just broke my heart at the dentist's office today:  http://tinyurl.com/ngbq2c
326,1,   Tiger Woods is up by 2at 18 via http://nascar.com/racebuddy
327,0,   wanna go meet wifey but can't....  this sux   :'(
328,0,   Wondering why I feel like I do...I'll feel better though...Its all good! I'll be happy inspite of...Tweet ya lata 
329,1,"   yippeeeee yay lets gather in the hay...HIS LOVE FOUND IT'S WAY+ boy,it's Gonna STAY added 2 the Master's HOLY WAY: ALL HIS WILL+WAY"
330,0,  #IranElection - no one realizes how deep this goes.
331,0,  &gt;. Bodies from Air France crash have been found  http://twurl.nl/dvu8be (via @Paisano )
332,0,"  &lt; that is the story of my life, a whole bunch of frownies!"
333,0,               I HAVE NOOOOOOOOOO FRIENDS ON TWITTER IT MAKES ME SAD WILL SOMEONE FOLLOW ME      
334,0,             i just want to hear from you. i guess that's asking too much..
335,1,       Hardest working chica i know( mii boss lady) @MoneyAceweather (look up to her seriously) lOl
336,0,       i really2 don't like this condition. sucksssssss
337,0,"       Orlando Lost  The Series. Oh Well, Maybe Phoenix, Or Boston, Or Cleveland (The Teams I Like) Will Make It Next Year!"
338,0,      rinitis sucks!!!!!
339,1,      thanks for being the bestttttttttttttttttttt J-dawg
340,0,     &gt;( &gt;(  i'm mad and sad right now. Played so terrible today in both soccer and basketball.
341,0,     &lt;- but mustache man is not that desperate
342,0,     &lt;--------- my face because i'm missing zoro tonight.
343,0,     @riceuniversiity I know huh @Kouture85 Im bout to cry@Ahmier thanks Marco! *muah*
344,0,     angry
345,1,     praise God for this beautiful day!!!     
346,0,     sry matt 2 hear that (
347,0,     what the fucccckkkkkkkkkk
348,0,    Bye World!!!!!!
349,0,    i couldnt even have one fairytale night
350,0,    I'll be working when Pottercast/Lupins/Willows come near me.  FAIL.
351,0,"    My cell phone screen is dead.  Sooooooooooo, no texts and I don't know who's calling.  Fuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuck"
352,0,"    NO MORE SICKNESS. strike i say STRIKE! ohhhh well, 'nother day off school i guess"
353,0,    Nobody likes Year One in the reviews I've read. I'm disappointed. But maybe now I'll like it more since I'm not expecting much..
354,0,   (must i say more?)
355,0,   *old me's dead and gone*
356,0,   ... have to go now ??? 13 more minutes   ... please please please
357,1,   @Lakers!! I love you guyssss! Those rings.. Mmmyeahh! Bling blingg
358,1,   @PERFEKTnCHANCE (Chance) is Boo #29
359,1,   @Standing_Stones  Thank you very much for the DVD suggestion!  Very nice of you!  Looks good.
360,0,   awwwww i really hate this.
361,0,   bad day.
362,0,   bad day.....damn you @311. What kind of ticket sale was that.....
363,0,   Boston Globe could be shut down in 60 days http://sbne.ws/r/vWc
364,0,   bye guys!!!! i'ma miss ya'll sooo sooo much! but don't worry i'll be back on monday!!! have an awesome weekend!!! peace!!!!
365,0,   can i have some followers :' ( ... i'm so sad...    NOW THAT I'M LOSING HOPE -pressure
366,0,   Couldn't bless'd da mic w/ my bra's in music 2day @ERiceOnTheBeat @moneybagzfam1st @circustk
367,0,   CRY CRY CRY   
368,0,   F**kn day...
369,0,   Goodnight   
370,0,   grandma is very sick. not doing well. going to the emergency room.
371,1,   had a WONDERFUL day  G_D is GRRRRRRRRREAT!!!!!     
372,0,   I am going to shed tears if the Cavs have to go home tonight. Like seriously
373,0,   i am soooo sad...at this point of night i'd be cuddling with jonathan like i did for 4 years
374,0,   I hate you forever.
375,1,   I have passed 70-542 exam today   
376,0,   i missed it
377,0,   i still Feel like a Douchebag
378,1,   I want to write a song. I think I will.
379,1,- @serialseb Always thought time estimates should use 'value of Pi rule' (x 3.14). Only exception being 'Pi squared rule'. 
380,1, @SirKenRobinson Creativity via Twitter http://bit.ly/HVTHS
381,1,"- @SlashHudson you tease, i wanna hear the tracks!! "
382,0, @sommacolada never answering my im's
383,1, @soultravelers3 http://bit.ly/H9Nqe  15 TravelTips 4 student safety in roughplaces
384,0, @squarespace it's now fathers day and you haven't picked me...yet. I kind of want to incessantly bother you...#squarespace
385,1, @SRenaeNae... What is 'FML'
386,1, @sweetlilmzmia: &quot;Gotta LOVE Blip.fm - John Mayer Trio - CALIFORNIA DREAMIN' as heard on Conan 06/04/2009 ---... Ã¢â¢Â« http://blip.fm/~7qdf0
387,1, @Thatsrightnate ~ Just in case you need some help w that:  http://bit.ly/12nP1H
388,1, @THEDIAMONDCOACH  Im sure he'd love that LOL
389,1, @theenglishmuse on &quot;Karl Lagerfeld&quot; 's Twitter profile(s) lol!  Heart the first pic http://tinyurl.com/cbl6tm
390,0, @TheIanCrawford is no longer in the Cab. To say I'm heartbroken is an understatement... good luck with everything! you're amazing ian.
391,0, @va_songstress broke my twitter..
392,0, @warbo is off clubbing... must come over to sheffield sometime &amp; party but really probably shouldn't atm. a tech conference is a conf etc
393,1," @weselec My avatar can't figure out what you people are, either. http://tr.im/jj70"
394,0, @xxkirahxx is fulfilling my life's ambition 2 go 2 a Jonas Brothers concert + I went 2 HMV and the new album is already sold out! Why me?
395,1," @yhf What happened to movies, anyway? It's like Hollywood forgot: in rough times, the public wants to see.. http://tr.im/mZ8l"
396,0, @zochula just yelled at me for picking apple store over food.
397,1, @ZOEBOE: &quot;whoops credit is due to   &gt;&gt;&gt;rb@MusicIsMySunshine:  &quot; ? http://blip.fm/~7d4pk
398,1, =&gt; How not to exit a Cessna 206 #skydiving http://bit.ly/16ZZJ7
399,0, 1 of me cats kittens died only 3 days old too..RIP ming.
400,0, 1 week before the palm pre comes out and my centro dies. I have a temp phone but my contacts aren't transfered yet. #sadpanda #fb
401,1,"- 20 chicken mcnuggets, 2 double cheeseburgers, large fries, and a lemonade for dinner. Why you may ask? Because I hate my body. "
402,0, 3 hrs on da phone...lol dude is hilarious
403,1,- 400th tweet (!) breakfast: everything bagel toasted w/cream cheese with an iced cap... delish 
404,0, 5 gb of video to upload to utube :O dam sony vegas making it so big 
405,0, 50% of the new footwear labeling norm is definitions that are never referred to in the document. Who wrote this up?
406,0, a big angry spider was crawling in my blankeys  i flicked it to the floor and cant sleep now
407,1, A blessed sunday everyone!
408,0,=- A couple years of sickness all piled up to this one day
409,1, A dog riding the bicycle http://bit.ly/gvMzD
